name,gpu_model,vram_mb,cuda_cores,price_per_hour_usd_cents,driver_major,driver_minor
Radeon HD 6410D IGP,Radeon HD 6410D IGP,0,160,203,536,40
Radeon HD 6430M,Radeon HD 6430M,1024,160,203,535,36
Radeon HD 6450,Radeon HD 6450,512,160,203,535,44
Radeon HD 6450 OEM,Radeon HD 6450 OEM,512,160,203,535,36
Radeon HD 6450A,Radeon HD 6450A,512,160,203,535,43
Radeon HD 6450M,Radeon HD 6450M,1024,160,204,535,30
Radeon HD 6470M,Radeon HD 6470M,512,160,203,534,22
Radeon HD 6480G IGP,Radeon HD 6480G IGP,0,240,204,534,28
Radeon HD 6480G IGP,Radeon HD 6480G IGP,0,160,203,536,37
Radeon HD 6490,Radeon HD 6490,1024,320,206,535,49
Radeon HD 6490M,Radeon HD 6490M,512,160,205,535,29
Radeon HD 6490M Mac Edition,Radeon HD 6490M Mac Edition,256,160,204,536,23
Radeon HD 6510,Radeon HD 6510,1024,400,208,535,30
Radeon HD 6510,Radeon HD 6510,1024,320,207,535,41
Radeon HD 6520G IGP,Radeon HD 6520G IGP,0,320,204,535,33
Radeon HD 6530,Radeon HD 6530,1024,400,208,534,23
Radeon HD 6530D IGP,Radeon HD 6530D IGP,0,320,205,535,39
Radeon HD 6550A,Radeon HD 6550A,2048,480,208,534,21
Radeon HD 6550D IGP,Radeon HD 6550D IGP,0,400,208,534,37
Radeon HD 6570,Radeon HD 6570,1024,480,210,536,24
Radeon HD 6570,Radeon HD 6570,2048,480,210,536,28
Radeon HD 6570 OEM,Radeon HD 6570 OEM,1024,480,210,535,42
Radeon HD 6570M,Radeon HD 6570M,1024,480,209,534,40
Radeon HD 6610M,Radeon HD 6610M,1024,400,206,535,21
Radeon HD 6620G IGP,Radeon HD 6620G IGP,0,400,206,535,49
Radeon HD 6625M,Radeon HD 6625M,1024,480,207,536,48
Radeon HD 6630M,Radeon HD 6630M,1024,480,207,535,20
Radeon HD 6630M Mac Edition,Radeon HD 6630M Mac Edition,256,480,207,536,21
Radeon HD 6650A,Radeon HD 6650A,1024,480,209,535,47
Radeon HD 6650M,Radeon HD 6650M,1024,480,209,534,48
Radeon HD 6670,Radeon HD 6670,1024,480,213,535,42
Radeon HD 6670A,Radeon HD 6670A,1024,480,209,534,43
Radeon HD 6730M,Radeon HD 6730M,1024,480,211,535,36
Radeon HD 6750,Radeon HD 6750,1024,720,217,535,26
Radeon HD 6750M,Radeon HD 6750M,1024,480,209,535,32
Radeon HD 6750M Mac Edition,Radeon HD 6750M Mac Edition,512,480,209,535,41
Radeon HD 6770,Radeon HD 6770,1024,800,223,534,22
Radeon HD 6770M,Radeon HD 6770M,1024,480,211,535,34
Radeon HD 6770M Mac Edition,Radeon HD 6770M Mac Edition,1024,480,210,534,49
Radeon HD 6790,Radeon HD 6790,1024,800,223,535,44
Radeon HD 6830M,Radeon HD 6830M,1024,800,214,535,38
Radeon HD 6850 X2,Radeon HD 6850 X2,2048,960,229,536,26
Radeon HD 6850M,Radeon HD 6850M,1024,800,217,535,24
Radeon HD 6870 X2,Radeon HD 6870 X2,1024,1120,238,535,28
Radeon HD 6870M,Radeon HD 6870M,1024,800,217,535,23
Radeon HD 6930,Radeon HD 6930,1024,1280,234,536,24
Radeon HD 6950M,Radeon HD 6950M,1024,960,217,536,33
Radeon HD 6970M,Radeon HD 6970M,1024,960,221,535,45
Radeon HD 6970M Mac Edition,Radeon HD 6970M Mac Edition,2048,960,221,535,26
Radeon HD 6970M Rebrand,Radeon HD 6970M Rebrand,1024,800,221,534,37
Radeon HD 6970M X2,Radeon HD 6970M X2,2048,960,223,535,37
Radeon HD 6990,Radeon HD 6990,2048,1536,248,535,21
Radeon HD 6990M,Radeon HD 6990M,2048,1120,227,534,45
Radeon HD 6990M Rebrand,Radeon HD 6990M Rebrand,1024,800,219,535,20
Radeon HD 7410M,Radeon HD 7410M,1024,160,203,536,42
Radeon HD 7690M,Radeon HD 7690M,1024,480,210,534,44
FirePro A300,FirePro A300,0,384,212,535,32
FirePro A320,FirePro A320,0,384,213,536,39
FirePro M2000,FirePro M2000,1024,480,208,534,45
FirePro M4000,FirePro M4000,1024,512,211,534,45
FirePro M6000,FirePro M6000,2048,640,216,535,39
FirePro S10000,FirePro S10000,3072,1792,261,534,34
FirePro S10000 Passive,FirePro S10000 Passive,3072,1792,261,536,39
FirePro S7000,FirePro S7000,4096,1280,241,535,45
FirePro S9000,FirePro S9000,6144,1792,255,535,40
FirePro S9010,FirePro S9010,3072,1792,249,535,25
FirePro V3900,FirePro V3900,1024,480,210,535,44
FirePro W4000,FirePro W4000,2048,768,220,535,30
FirePro W5000,FirePro W5000,2048,768,220,535,27
FirePro W600,FirePro W600,2048,512,213,535,38
FirePro W7000,FirePro W7000,4096,1280,241,534,34
FirePro W8000,FirePro W8000,4096,1792,255,536,22
FirePro W9000,FirePro W9000,6144,2048,268,535,35
Radeon HD 6250 IGP,Radeon HD 6250 IGP,0,80,200,535,42
Radeon HD 6250 IGP,Radeon HD 6250 IGP,0,80,200,535,47
Radeon HD 6850 1440SP Edition,Radeon HD 6850 1440SP Edition,1024,1440,235,536,31
Radeon HD 7290 IGP,Radeon HD 7290 IGP,0,80,201,535,48
Radeon HD 7310 IGP,Radeon HD 7310 IGP,0,80,201,535,30
Radeon HD 7330M,Radeon HD 7330M,1024,80,201,535,32
Radeon HD 7340 IGP,Radeon HD 7340 IGP,0,80,201,534,49
Radeon HD 7350 OEM,Radeon HD 7350 OEM,512,80,202,535,46
Radeon HD 7350 OEM PCI,Radeon HD 7350 OEM PCI,512,80,202,535,46
Radeon HD 7350M,Radeon HD 7350M,1024,80,201,535,20
Radeon HD 7370M,Radeon HD 7370M,1024,80,202,536,33
Radeon HD 7400G IGP,Radeon HD 7400G IGP,0,192,202,535,44
Radeon HD 7420G IGP,Radeon HD 7420G IGP,0,128,203,535,30
Radeon HD 7430M,Radeon HD 7430M,1024,160,203,534,35
Radeon HD 7450 OEM,Radeon HD 7450 OEM,512,160,203,535,41
Radeon HD 7450A,Radeon HD 7450A,512,160,203,536,35
Radeon HD 7450M,Radeon HD 7450M,1024,160,203,535,25
Radeon HD 7470 OEM,Radeon HD 7470 OEM,1024,160,204,535,47
Radeon HD 7470A,Radeon HD 7470A,512,160,203,534,43
Radeon HD 7470A,Radeon HD 7470A,1024,400,209,535,27
Radeon HD 7470M,Radeon HD 7470M,1024,160,204,534,20
Radeon HD 7480D IGP,Radeon HD 7480D IGP,0,128,204,535,48
Radeon HD 7490M,Radeon HD 7490M,1024,160,204,535,35
Radeon HD 7500G IGP,Radeon HD 7500G IGP,0,256,203,536,35
Radeon HD 7510M,Radeon HD 7510M,1024,400,205,535,22
Radeon HD 7520G IGP,Radeon HD 7520G IGP,0,192,204,535,48
Radeon HD 7530M,Radeon HD 7530M,1024,400,205,535,37
Radeon HD 7540D IGP,Radeon HD 7540D IGP,0,192,206,535,36
Radeon HD 7550M,Radeon HD 7550M,1024,480,207,535,47
Radeon HD 7550M,Radeon HD 7550M,1024,480,208,534,33
Radeon HD 7560D IGP,Radeon HD 7560D IGP,0,256,207,535,46
Radeon HD 7560G IGP,Radeon HD 7560G IGP,0,256,206,534,43
Radeon HD 7570,Radeon HD 7570,1024,480,210,535,33
Radeon HD 7570M,Radeon HD 7570M,1024,480,207,534,23
Radeon HD 7590M,Radeon HD 7590M,1024,480,209,535,41
Radeon HD 7600G IGP,Radeon HD 7600G IGP,0,384,205,535,36
Radeon HD 7610M,Radeon HD 7610M,1024,400,206,535,24
Radeon HD 7620G IGP,Radeon HD 7620G IGP,0,384,206,535,21
Radeon HD 7630M,Radeon HD 7630M,1024,480,206,534,35
Radeon HD 7640G IGP,Radeon HD 7640G IGP,0,256,205,536,49
Radeon HD 7650A,Radeon HD 7650A,1024,480,209,535,20
Radeon HD 7650M,Radeon HD 7650M,1024,480,207,535,28
Radeon HD 7650M Rebrand,Radeon HD 7650M Rebrand,1024,480,207,535,33
Radeon HD 7660D IGP,Radeon HD 7660D IGP,0,384,211,534,42
Radeon HD 7660G IGP,Radeon HD 7660G IGP,0,384,208,535,43
Radeon HD 7670 OEM,Radeon HD 7670 OEM,512,480,213,534,24
Radeon HD 7670A,Radeon HD 7670A,1024,480,209,534,45
Radeon HD 7670M,Radeon HD 7670M,1024,480,209,536,30
Radeon HD 7670M Rebrand,Radeon HD 7670M Rebrand,1024,480,209,535,45
Radeon HD 7690M Rebrand,Radeon HD 7690M Rebrand,1024,480,209,535,34
Radeon HD 7690M XT Rebrand,Radeon HD 7690M XT Rebrand,1024,480,211,535,48
Radeon HD 7730M,Radeon HD 7730M,2048,512,210,535,34
Radeon HD 7750,Radeon HD 7750,1024,512,213,534,42
Radeon HD 7750M,Radeon HD 7750M,1024,512,209,535,36
Radeon HD 7770 GHz Edition,Radeon HD 7770 GHz Edition,1024,640,221,535,34
Radeon HD 7770M,Radeon HD 7770M,1024,512,211,535,32
Radeon HD 7850,Radeon HD 7850,2048,1024,230,535,25
Radeon HD 7850M,Radeon HD 7850M,2048,640,213,535,29
Radeon HD 7870 GHz Edition,Radeon HD 7870 GHz Edition,2048,1280,243,536,37
Radeon HD 7870 XT,Radeon HD 7870 XT,2048,1536,250,535,34
Radeon HD 7870M,Radeon HD 7870M,2048,640,216,535,27
Radeon HD 7950,Radeon HD 7950,3072,1792,249,535,41
Radeon HD 7950 Boost,Radeon HD 7950 Boost,3072,1792,255,535,29
Radeon HD 7950 Monica BIOS 1,Radeon HD 7950 Monica BIOS 1,3072,1536,248,534,21
Radeon HD 7950 Monica BIOS 2,Radeon HD 7950 Monica BIOS 2,3072,768,220,535,43
Radeon HD 7950M,Radeon HD 7950M,2048,1280,229,534,29
Radeon HD 7970,Radeon HD 7970,3072,2048,264,535,22
Radeon HD 7970 GHz Edition,Radeon HD 7970 GHz Edition,3072,2048,273,535,36
Radeon HD 7970 X2,Radeon HD 7970 X2,3072,2048,270,535,20
Radeon HD 7970M,Radeon HD 7970M,2048,1280,235,535,37
Radeon HD 7970M X2,Radeon HD 7970M X2,2048,1280,238,535,43
Wii U GPU,Wii U GPU,2048,160,203,535,23
Radeon HD 8180 IGP,Radeon HD 8180 IGP,0,128,200,535,47
Radeon HD 8210E,Radeon HD 8210E,0,128,201,535,21
Radeon HD 8240 Mobile IGP,Radeon HD 8240 Mobile IGP,0,128,201,535,22
Radeon HD 8250 IGP,Radeon HD 8250 IGP,0,128,201,534,38
Radeon HD 8280 IGP,Radeon HD 8280 IGP,0,128,202,536,25
Radeon HD 8280 Mobile IGP,Radeon HD 8280 Mobile IGP,0,128,202,535,43
Radeon HD 8280E,Radeon HD 8280E,0,128,202,534,45
Radeon HD 8310G IGP,Radeon HD 8310G IGP,0,128,202,535,34
Radeon HD 8330 Mobile IGP,Radeon HD 8330 Mobile IGP,0,128,202,534,21
Radeon HD 8330E,Radeon HD 8330E,0,128,202,534,25
Radeon HD 8350 OEM,Radeon HD 8350 OEM,1024,80,202,535,48
Radeon HD 8350G IGP,Radeon HD 8350G IGP,0,128,203,535,36
Radeon HD 8370D IGP,Radeon HD 8370D IGP,0,128,204,536,27
Radeon HD 8400 IGP,Radeon HD 8400 IGP,0,128,202,535,45
Radeon HD 8400 Mobile IGP,Radeon HD 8400 Mobile IGP,0,128,202,534,25
Radeon HD 8400E,Radeon HD 8400E,0,128,202,535,43
Radeon HD 8410G IGP,Radeon HD 8410G IGP,0,192,204,535,21
Radeon HD 8450 OEM,Radeon HD 8450 OEM,1024,160,203,536,45
Radeon HD 8450G IGP,Radeon HD 8450G IGP,0,192,205,535,41
Radeon HD 8470D IGP,Radeon HD 8470D IGP,0,192,206,536,23
Radeon HD 8490 OEM,Radeon HD 8490 OEM,1024,160,205,534,34
Radeon HD 8510G IGP,Radeon HD 8510G IGP,0,384,207,535,21
Radeon HD 8550D IGP,Radeon HD 8550D IGP,0,256,208,536,24
Radeon HD 8550G IGP,Radeon HD 8550G IGP,0,256,205,535,36
Radeon HD 8570A,Radeon HD 8570A,1024,320,209,535,49
Radeon HD 8570D IGP,Radeon HD 8570D IGP,0,256,207,535,25
Radeon HD 8570M,Radeon HD 8570M,1024,320,209,535,21
Radeon HD 8610G IGP,Radeon HD 8610G IGP,0,384,208,535,50
Radeon HD 8650D IGP,Radeon HD 8650D IGP,0,384,211,535,20
Radeon HD 8650G IGP,Radeon HD 8650G IGP,0,384,209,536,41
Radeon HD 8670A,Radeon HD 8670A,1024,320,206,535,47
Radeon HD 8670A,Radeon HD 8670A,1024,384,208,536,25
Radeon HD 8670D IGP,Radeon HD 8670D IGP,0,384,212,535,34
Radeon HD 8670M,Radeon HD 8670M,1024,320,210,534,43
Radeon HD 8670M,Radeon HD 8670M,1024,384,210,536,48
Radeon HD 8730A,Radeon HD 8730A,1024,384,209,535,43
Radeon HD 8730M,Radeon HD 8730M,2048,384,209,534,41
Radeon HD 8750A,Radeon HD 8750A,1024,384,208,535,33
Radeon HD 8750M,Radeon HD 8750M,1024,384,210,534,36
Radeon HD 8830M,Radeon HD 8830M,2048,640,213,535,37
Radeon R5 220 OEM,Radeon R5 220 OEM,1024,80,202,535,47
Radeon R5 230 OEM,Radeon R5 230 OEM,1024,160,203,535,23
Radeon R5 235 OEM,Radeon R5 235 OEM,1024,160,204,535,47
Radeon R5 235X OEM,Radeon R5 235X OEM,1024,160,204,536,33
Radeon R5 240 OEM,Radeon R5 240 OEM,2048,384,210,535,50
Radeon R5 M230 Rebrand,Radeon R5 M230 Rebrand,2048,320,209,534,38
Radeon R7 240,Radeon R7 240,2048,320,208,534,43
Radeon R7 240 OEM,Radeon R7 240 OEM,2048,320,208,535,43
Radeon R7 250,Radeon R7 250,1024,512,212,535,42
Radeon R7 250,Radeon R7 250,1024,512,215,535,43
Radeon R7 250 OEM,Radeon R7 250 OEM,2048,384,213,534,27
Xbox One GPU,Xbox One GPU,8192,768,222,536,21
Radeon HD 6610,Radeon HD 6610,1024,400,208,535,37
Radeon HD 6770 Green Edition,Radeon HD 6770 Green Edition,2048,720,217,535,27
Radeon HD 7510 OEM,Radeon HD 7510 OEM,1024,320,207,535,38
Radeon HD 7570 OEM,Radeon HD 7570 OEM,1024,400,208,534,39
Radeon HD 8510 OEM,Radeon HD 8510 OEM,1024,400,208,535,47
Radeon HD 8510 OEM,Radeon HD 8510 OEM,1024,480,210,535,37
Radeon HD 8550 OEM,Radeon HD 8550 OEM,1024,480,210,535,26
Radeon HD 8570 OEM,Radeon HD 8570 OEM,2048,384,210,535,23
Radeon HD 8570 OEM Rebrand,Radeon HD 8570 OEM Rebrand,1024,480,210,534,36
FirePro M4100,FirePro M4100,2048,384,208,536,37
FirePro M4150,FirePro M4150,1024,384,209,535,40
FirePro M5100,FirePro M5100,2048,640,216,536,47
FirePro M6100,FirePro M6100,2048,768,226,535,48
FirePro R5000,FirePro R5000,2048,768,222,535,24
FirePro W5000 DVI,FirePro W5000 DVI,2048,768,220,534,27
Playstation 4 GPU,Playstation 4 GPU,8192,1152,230,535,46
Radeon HD 6870 1600SP Edition,Radeon HD 6870 1600SP Edition,1024,1600,246,535,49
Radeon HD 7690M XT,Radeon HD 7690M XT,2048,480,211,536,24
Radeon HD 7720 OEM,Radeon HD 7720 OEM,1024,800,223,536,30
Radeon HD 7730,Radeon HD 7730,1024,384,210,536,32
Radeon HD 7790,Radeon HD 7790,1024,896,229,535,37
Radeon HD 7950 Mac Edition,Radeon HD 7950 Mac Edition,3072,1792,249,536,32
Radeon HD 7990,Radeon HD 7990,3072,2048,272,535,20
Radeon HD 8470 OEM,Radeon HD 8470 OEM,1024,160,204,534,21
Radeon HD 8590M,Radeon HD 8590M,1024,320,209,535,50
Radeon HD 8670 OEM,Radeon HD 8670 OEM,2048,384,213,535,38
Radeon HD 8690M,Radeon HD 8690M,2048,320,210,535,37
Radeon HD 8730 OEM,Radeon HD 8730 OEM,1024,384,210,535,43
Radeon HD 8740 OEM,Radeon HD 8740 OEM,1024,512,213,535,26
Radeon HD 8750M,Radeon HD 8750M,1024,384,208,535,46
Radeon HD 8760 OEM,Radeon HD 8760 OEM,2048,640,221,535,46
Radeon HD 8770 OEM,Radeon HD 8770 OEM,1024,896,231,536,38
Radeon HD 8770M,Radeon HD 8770M,2048,384,210,534,26
Radeon HD 8790M,Radeon HD 8790M,2048,384,211,535,21
Radeon HD 8850M,Radeon HD 8850M,2048,640,213,535,25
Radeon HD 8860 OEM,Radeon HD 8860 OEM,2048,1280,240,535,49
Radeon HD 8870 OEM,Radeon HD 8870 OEM,2048,1280,243,534,46
Radeon HD 8870M,Radeon HD 8870M,2048,640,216,535,50
Radeon HD 8950 OEM,Radeon HD 8950 OEM,3072,1792,255,536,46
Radeon HD 8950M,Radeon HD 8950M,2048,768,227,535,23
Radeon HD 8970 OEM,Radeon HD 8970 OEM,3072,2048,264,536,28
Radeon HD 8970M,Radeon HD 8970M,4096,1280,237,534,35
Radeon HD 8990 OEM,Radeon HD 8990 OEM,3072,2048,272,535,50
Radeon R7 240,Radeon R7 240,2048,320,207,535,48
Radeon R7 250,Radeon R7 250,1024,384,213,536,22
Radeon R7 250E,Radeon R7 250E,1024,512,213,534,40
Radeon R7 260,Radeon R7 260,2048,768,225,535,39
Radeon R7 260X,Radeon R7 260X,2048,896,233,535,47
Radeon R9 255 OEM,Radeon R9 255 OEM,2048,512,215,535,21
Radeon R9 260 OEM,Radeon R9 260 OEM,1024,896,232,535,31
Radeon R9 270,Radeon R9 270,2048,1280,240,535,31
Radeon R9 270X,Radeon R9 270X,2048,1280,245,535,29
Radeon R9 280X,Radeon R9 280X,3072,2048,269,534,39
Radeon R9 290,Radeon R9 290,4096,2560,281,534,40
Radeon R9 290X,Radeon R9 290X,4096,2816,293,535,38
Radeon Sky 500,Radeon Sky 500,4096,1280,241,534,47
Radeon Sky 700,Radeon Sky 700,6144,1792,255,535,40
Radeon Sky 900,Radeon Sky 900,3072,1792,259,535,43
FirePro D300,FirePro D300,2048,1280,237,535,31
FirePro D500,FirePro D500,3072,1536,241,535,43
FirePro D700,FirePro D700,6144,2048,260,536,47
FirePro M6100,FirePro M6100,2048,896,231,535,26
FirePro S10000 Passive 12GB,FirePro S10000 Passive 12GB,6144,1792,261,535,21
FirePro S4000X,FirePro S4000X,2048,640,216,534,29
FirePro S9050,FirePro S9050,12288,1792,255,535,49
FirePro S9100,FirePro S9100,12288,2560,270,534,45
FirePro S9150,FirePro S9150,16384,2816,283,536,42
FirePro W2100,FirePro W2100,2048,320,207,534,41
FirePro W4100,FirePro W4100,2048,512,210,534,22
FirePro W4170M,FirePro W4170M,2048,384,211,535,47
FirePro W5100,FirePro W5100,4096,768,222,534,32
FirePro W5170M,FirePro W5170M,2048,640,219,536,29
FirePro W6170M,FirePro W6170M,2048,896,231,536,20
FirePro W7100,FirePro W7100,8192,1792,254,536,34
FirePro W8100,FirePro W8100,8192,2560,270,535,46
FirePro W9100,FirePro W9100,16384,2816,287,535,36
Radeon E8860,Radeon E8860,2048,640,212,534,30
Radeon HD 8210 IGP,Radeon HD 8210 IGP,0,128,201,535,49
Radeon HD 8530M,Radeon HD 8530M,1024,320,207,535,38
Radeon HD 8550M,Radeon HD 8550M,1024,320,209,535,43
Radeon R4 Mobile Graphics,Radeon R4 Mobile Graphics,0,128,203,535,48
Radeon R4 Mobile Graphics,Radeon R4 Mobile Graphics,0,192,203,535,20
Radeon R4E Mobile Graphics,Radeon R4E Mobile Graphics,0,128,203,536,39
Radeon R5 230,Radeon R5 230,1024,160,203,535,41
Radeon R5 A220,Radeon R5 A220,1024,160,204,534,38
Radeon R5 A230,Radeon R5 A230,4096,320,209,535,45
Radeon R5 A240,Radeon R5 A240,1024,320,211,535,40
Radeon R5 A240,Radeon R5 A240,2048,320,208,535,43
Radeon R5 A255,Radeon R5 A255,1024,384,212,534,34
Radeon R5 Graphics,Radeon R5 Graphics,0,256,204,535,37
Radeon R5 Graphics,Radeon R5 Graphics,0,256,206,534,42
Radeon R5 M230,Radeon R5 M230,2048,320,207,535,20
Radeon R5 M230,Radeon R5 M230,4096,320,209,535,33
Radeon R5 M230 Rebrand,Radeon R5 M230 Rebrand,1024,320,209,536,20
Radeon R5 M240,Radeon R5 M240,1024,320,211,535,33
Radeon R5 M240 Rebrand,Radeon R5 M240 Rebrand,1024,384,209,535,41
Radeon R5 M255,Radeon R5 M255,2048,384,212,535,31
Radeon R5 Mobile Graphics,Radeon R5 Mobile Graphics,0,128,203,536,38
Radeon R5 Mobile Graphics,Radeon R5 Mobile Graphics,0,256,205,535,46
Radeon R5E Mobile Graphics,Radeon R5E Mobile Graphics,0,128,203,535,25
Radeon R6 M255DX,Radeon R6 M255DX,0,320,209,535,38
Radeon R6 M255DX,Radeon R6 M255DX,0,384,212,535,21
Radeon R6 Mobile Graphics,Radeon R6 Mobile Graphics,0,384,206,535,35
Radeon R7 250X,Radeon R7 250X,1024,640,220,535,44
Radeon R7 250XE,Radeon R7 250XE,1024,640,218,535,28
Radeon R7 265,Radeon R7 265,2048,1024,232,535,30
Radeon R7 265X OEM,Radeon R7 265X OEM,2048,1280,240,534,41
Radeon R7 A260,Radeon R7 A260,1024,384,212,535,24
Radeon R7 A265,Radeon R7 A265,2048,384,210,536,26
Radeon R7 Graphics,Radeon R7 Graphics,0,512,211,535,20
Radeon R7 Graphics,Radeon R7 Graphics,0,384,208,535,34
Radeon R7 M260,Radeon R7 M260,2048,384,212,536,30
Radeon R7 M260DX,Radeon R7 M260DX,0,320,211,534,45
Radeon R7 M260DX,Radeon R7 M260DX,0,320,209,536,48
Radeon R7 M260DX,Radeon R7 M260DX,0,384,212,535,37
Radeon R7 M265,Radeon R7 M265,2048,384,210,536,44
Radeon R7 M265,Radeon R7 M265,2048,384,212,535,31
Radeon R7 M265DX,Radeon R7 M265DX,0,384,212,534,21
Radeon R7 M265DX,Radeon R7 M265DX,0,320,209,535,38
Radeon R7 M265DX,Radeon R7 M265DX,0,384,212,535,21
Radeon R7 M270,Radeon R7 M270,2048,384,210,535,22
Radeon R7 M270DX,Radeon R7 M270DX,0,384,212,535,29
Radeon R7 M270DX,Radeon R7 M270DX,0,320,209,535,24
Radeon R7 Mobile Graphics,Radeon R7 Mobile Graphics,0,384,207,535,20
Radeon R9 280,Radeon R9 280,3072,1792,256,536,38
Radeon R9 285,Radeon R9 285,2048,1792,255,534,38
Radeon R9 290X2,Radeon R9 290X2,4096,2816,301,536,43
Radeon R9 295X2,Radeon R9 295X2,4096,2816,300,535,45
Radeon R9 M265X,Radeon R9 M265X,2048,640,213,534,23
Radeon R9 M270X,Radeon R9 M270X,2048,640,216,535,23
Radeon R9 M275,Radeon R9 M275,2048,640,219,535,40
Radeon R9 M275X,Radeon R9 M275X,2048,640,219,534,29
Radeon R9 M290X,Radeon R9 M290X,4096,1280,237,535,32
Radeon R9 M290X Mac Edition,Radeon R9 M290X Mac Edition,2048,1024,232,535,42
Radeon R9 M295X,Radeon R9 M295X,4096,2048,251,536,44
Radeon R9 M295X Mac Edition,Radeon R9 M295X Mac Edition,4096,2048,259,535,41
FirePro M4170,FirePro M4170,1024,384,211,536,43
FirePro S9170,FirePro S9170,32768,2816,287,535,34
FirePro W4170M,FirePro W4170M,2048,384,211,535,27
FirePro W4190M,FirePro W4190M,2048,384,211,535,44
FirePro W4300,FirePro W4300,4096,768,222,535,28
FirePro W5130M,FirePro W5130M,2048,512,215,534,40
FirePro W6150M,FirePro W6150M,4096,768,226,535,25
FirePro W7170M,FirePro W7170M,4096,2048,247,534,48
Radeon E6465,Radeon E6465,2048,160,203,534,35
Radeon E8870 MXM,Radeon E8870 MXM,4096,768,225,534,35
Radeon E8870 PCIe,Radeon E8870 PCIe,4096,768,225,535,27
Radeon E8950,Radeon E8950,8192,2048,265,535,40
Radeon R2 Mobile Graphics,Radeon R2 Mobile Graphics,0,128,201,536,41
Radeon R2 Mobile Graphics,Radeon R2 Mobile Graphics,0,128,202,535,26
Radeon R2E Mobile Graphics,Radeon R2E Mobile Graphics,0,128,201,535,42
Radeon R3 Mobile Graphics,Radeon R3 Mobile Graphics,0,128,202,535,21
Radeon R3E Mobile Graphics,Radeon R3E Mobile Graphics,0,128,201,535,50
Radeon R5 310 OEM,Radeon R5 310 OEM,1024,160,205,536,43
Radeon R5 310 OEM,Radeon R5 310 OEM,2048,160,204,535,48
Radeon R5 330 OEM,Radeon R5 330 OEM,2048,320,209,535,22
Radeon R5 340 OEM,Radeon R5 340 OEM,1024,384,210,535,49
Radeon R5 340X OEM,Radeon R5 340X OEM,2048,384,211,534,41
Radeon R5 A320,Radeon R5 A320,1024,320,209,535,42
Radeon R5 A330,Radeon R5 A330,2048,320,211,535,39
Radeon R5 A335,Radeon R5 A335,2048,320,211,534,46
Radeon R5 M315,Radeon R5 M315,2048,384,212,536,45
